External Relations Intern, https://www.glassdoor.com/Salary/International-Institute-for-Strategic-Studies-External-Relations-Intern-Salaries-E962016_D_KO46,71.htm?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Glassdoor,40000, 60000,  $,  year, year
Director of Development, https://www.glassdoor.com/Salaries/new-york-city-director-of-development-salary-SRCH_IL.0,13_IM615_KO14,37.htm?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Glassdoor,1.5, 2.6,  $,  year
Director of Development, Non-Profit Organization, https://www.salary.com/research/salary/alternate/director-of-development-non-profit-organization-salary/new-york-ny?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Salary.com,1.1, 2.7,  $,  year, year
Director of Development, Non-Profit Organization, https://www.payscale.com/research/US/Job=Director_of_Development%2C_Non-Profit_Organization/Salary/05b19c61/New-York-NY?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Payscale,58000, 1.4,  $,  year, year
Womens Health Manager, https://www.indeed.com/cmp/Hire-Partnership,-LLC/salaries/Womens-Health-Manager/Massachusetts?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Indeed,55000,  $,  year, year,  Based on local employers
Womens Health, https://www.ziprecruiter.com/Salaries/Womens-Health-Salary--in-Massachusetts?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, ZipRecruiter,1.2, 3.8,  $,  year, year,  Based on local employers
OB/GYN Physician, https://www.salary.com/research/salary/alternate/ob-gyn-physician-salary/ma?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Salary.com,2.6, 4.8,  $,  year, year,  Based on local employers
Director, Marketing, https://www.salary.com/research/company/women-s-golf-association-of-northern-california/director-marketing-salary?cjid=10856535&utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Salary.com,1.6, 2,  $,  year, year
Mechanic, https://www.indeed.com/cmp/Kellanova-1/salaries/Mechanic/Blue-Anchor-NJ?period=daily&utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Indeed,190, 230,  $,  hour, hour,  Based on local employers
sales leader, https://www.talent.com/salary?job=sales+leader&location=livermore&utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Talent.com,47000, 75000,  $,  year, year,  Based on local employers
Sales Associate, https://www.indeed.com/cmp/Janie-and-Jack/salaries/Sales-Associate/Livermore-CA?period=weekly&utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Indeed,350, 1100,  $,  hour, hour,  Based on local employers
Sales Associate, https://www.ihiresalespeople.com/t-sales-associate-s-california-c-discovery-bay-jobs.html?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, IHireSalesPeople,35000, 58000,  $,  year, year,  Based on local employers
Cook, https://www.indeed.com/cmp/Geisinger/salaries/Cook/Muncy%2C+PA?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, Indeed,19, 22,  $,  hour, hour,  Geisinger
Contract Ux Ui Designer, https://www.ziprecruiter.com/Salaries/Contract-Ux-Ui-Designer-Salary?utm_campaign=google_jobs_salary&utm_source=google_jobs_salary&utm_medium=organic, ZipRecruiter,33, 76,  $,  hour, hour,  Based on local employers
